0,	34,	5,	1,	13,	32
0,	34,	6,	1,	13,	33
0,	34,	7,	1,	13,	34
1,	12,	32,	0,	33,	5
1,	12,	33,	0,	33,	6
1,	12,	34,	0,	33,	7
0,	0,	5,	2,	16,	32
0,	0,	6,	2,	16,	33
0,	0,	7,	2,	16,	34
2,	17,	32,	0,	1,	5
2,	17,	33,	0,	1,	6
2,	17,	34,	0,	1,	7
1,	7,	14,	3,	27,	25
1,	8,	14,	3,	28,	25
3,	27,	24,	1,	7,	13
3,	28,	24,	1,	8,	13
2,	21,	14,	3,	6,	25
2,	22,	14,	3,	7,	25
3,	6,	24,	2,	21,	13
3,	7,	24,	2,	22,	13
3,	16,	0,	4,	7,	15
3,	17,	0,	4,	8,	15
3,	18,	0,	4,	9,	15
4,	7,	16,	3,	16,	1
4,	8,	16,	3,	17,	1
4,	9,	16,	3,	18,	1
